resampler,classifier,fold,mcc
sm,logreg,7,0.2875430708824757
sm,logreg,8,0.17444940691627658
sm,logreg,9,0.6502205166879399
sm,lsvc,0,0.7639120655125278
sm,lsvc,1,0.2879379453511626
sm,lsvc,2,0.2875430708824757
sm,lsvc,3,0.6193235372853324
sm,lsvc,4,0.6193235372853324
sm,lsvc,5,0.7857142857142857
sm,lsvc,6,-0.04423739552038088
sm,lsvc,7,0.21821789023599236
sm,lsvc,8,0.17444940691627658
sm,lsvc,9,0.6502205166879399
sm,nb,0,0.7095969515638287
sm,nb,1,0.49134250223106246
sm,nb,2,0.2539664030967856
sm,nb,3,0.4935665654655454
sm,nb,4,0.6492446437537834
sm,nb,5,0.7092993656151906
sm,nb,6,0.6002842255014932
sm,nb,7,0.41233496180210827
sm,nb,8,0.465496159672524
sm,nb,9,0.5592589407158036
sm,rf,0,0.49134250223106246
sm,rf,1,-0.03064257065179478
sm,rf,2,0.2875430708824757
sm,rf,3,0.49099025303098287
sm,rf,4,0.43495883620084
sm,rf,5,0.8881060715737716
sm,rf,6,0.21821789023599236
sm,rf,7,0.49099025303098287
sm,rf,8,0.21821789023599236
sm,rf,9,0.6193235372853324
svmsm,dt,0,0.282551827013777
svmsm,dt,1,0.041682340530078195
svmsm,dt,2,0.1182165609358651
svmsm,dt,3,0.3152441624956403
svmsm,dt,4,0.09799919151000505
svmsm,dt,5,0.5592589407158036
svmsm,dt,6,0.08080749189443177
svmsm,dt,7,0.42712531429913936
svmsm,dt,8,0.17444940691627658
svmsm,dt,9,0.35714285714285715
svmsm,gb,0,0.4128226437724409
svmsm,gb,1,-0.03064257065179478
svmsm,gb,2,0.2875430708824757
svmsm,gb,3,0.2875430708824757
svmsm,gb,4,0.2875430708824757
svmsm,gb,5,0.6502205166879399
svmsm,gb,6,0.14285714285714285
svmsm,gb,7,0.3947710169758614
svmsm,gb,8,0.14285714285714285
svmsm,gb,9,0.21821789023599236
svmsm,logreg,0,0.49134250223106246
svmsm,logreg,1,-0.03064257065179478
svmsm,logreg,2,0.43495883620084
svmsm,logreg,3,0.6193235372853324
svmsm,logreg,4,0.43495883620084
svmsm,logreg,5,0.8881060715737716
svmsm,logreg,6,0.43495883620084
svmsm,logreg,7,0.2875430708824757
svmsm,logreg,8,0.17444940691627658
svmsm,logreg,9,0.49099025303098287
svmsm,lsvc,0,0.7639120655125278
svmsm,lsvc,1,0.2879379453511626
svmsm,lsvc,2,0.2875430708824757
svmsm,lsvc,3,0.6193235372853324
svmsm,lsvc,4,0.6193235372853324
svmsm,lsvc,5,0.7857142857142857
svmsm,lsvc,6,-0.04423739552038088
svmsm,lsvc,7,0.21821789023599236
svmsm,lsvc,8,0.17444940691627658
svmsm,lsvc,9,0.6502205166879399
svmsm,nb,0,0.7639120655125278
svmsm,nb,1,0.4128226437724409
svmsm,nb,2,0.8881060715737716
svmsm,nb,3,0.7857142857142857
svmsm,nb,4,0.7637626158259733
svmsm,nb,5,0.7857142857142857
svmsm,nb,6,0.21821789023599236
svmsm,nb,7,0.17444940691627658
svmsm,nb,8,0.3152441624956403
svmsm,nb,9,0.8881060715737716
svmsm,rf,0,0.6195028521191681
svmsm,rf,1,-0.03064257065179478
svmsm,rf,2,0.2875430708824757
svmsm,rf,3,0.6193235372853324
svmsm,rf,4,0.43495883620084
svmsm,rf,5,0.8881060715737716
svmsm,rf,6,0.2875430708824757
svmsm,rf,7,0.35714285714285715
svmsm,rf,8,0.17444940691627658
svmsm,rf,9,0.6193235372853324
