resampler,classifier,fold,macro_f1
sm,dt,3,0.5925925925925926
sm,dt,4,0.5714285714285714
sm,dt,5,0.7636554621848739
sm,dt,6,0.5273109243697479
sm,dt,7,0.6666666666666667
sm,dt,8,0.5862884160756501
sm,dt,9,0.6785714285714286
sm,en,0,0.8228438228438227
sm,en,1,0.625615763546798
sm,en,2,0.6253746253746254
sm,en,3,0.7752247752247753
sm,en,4,0.7752247752247753
sm,en,5,0.892857142857143
sm,en,6,0.4755244755244756
sm,en,7,0.6253746253746254
sm,en,8,0.5862884160756501
sm,en,9,0.8226950354609929
sm,gb,0,0.6788732394366197
sm,gb,1,0.47586206896551725
sm,gb,2,0.6253746253746254
sm,gb,3,0.6253746253746254
sm,gb,4,0.6038732394366197
sm,gb,5,0.892857142857143
sm,gb,6,0.5714285714285714
sm,gb,7,0.6848739495798319
sm,gb,8,0.5585349901896665
sm,gb,9,0.6038732394366197
sm,logreg,0,0.7361111111111112
sm,logreg,1,0.625615763546798
sm,logreg,2,0.6038732394366197
sm,logreg,3,0.7359154929577465
sm,logreg,4,0.7752247752247753
sm,logreg,5,0.892857142857143
sm,logreg,6,0.6038732394366197
sm,logreg,7,0.6253746253746254
sm,logreg,8,0.5862884160756501
sm,logreg,9,0.8226950354609929
sm,lsvc,0,0.8680555555555556
sm,lsvc,1,0.625615763546798
sm,lsvc,2,0.6253746253746254
sm,lsvc,3,0.7752247752247753
sm,lsvc,4,0.7752247752247753
sm,lsvc,5,0.892857142857143
sm,lsvc,6,0.4755244755244756
sm,lsvc,7,0.6038732394366197
sm,lsvc,8,0.5862884160756501
sm,lsvc,9,0.8226950354609929
sm,nb,0,0.8529980657640233
sm,nb,1,0.7361111111111112
sm,nb,2,0.6209994385176867
sm,nb,3,0.7201492537313434
sm,nb,4,0.8188405797101449
sm,nb,5,0.8528449967298888
sm,nb,6,0.7894441325098259
sm,nb,7,0.7044917257683215
sm,nb,8,0.7282608695652174
sm,nb,9,0.7636554621848739
sm,rf,0,0.7361111111111112
sm,rf,1,0.4794520547945206
sm,rf,2,0.6253746253746254
sm,rf,3,0.7359154929577465
sm,rf,4,0.6527777777777778
sm,rf,5,0.9408983451536643
sm,rf,6,0.6038732394366197
sm,rf,7,0.7359154929577465
sm,rf,8,0.6038732394366197
sm,rf,9,0.7752247752247753
svmsm,dt,0,0.638095238095238
svmsm,dt,1,0.511029411764706
svmsm,dt,2,0.5585349901896665
svmsm,dt,3,0.6566383257030739
svmsm,dt,4,0.5471014492753623
svmsm,dt,5,0.7636554621848739
svmsm,dt,6,0.536777091521617
svmsm,dt,7,0.7052217855137562
svmsm,dt,8,0.5862884160756501
svmsm,dt,9,0.6785714285714286
svmsm,en,0,0.8680555555555556
svmsm,en,1,0.4794520547945206
svmsm,en,2,0.6253746253746254
svmsm,en,3,0.7752247752247753
svmsm,en,4,0.7752247752247753
svmsm,en,5,0.892857142857143
svmsm,en,6,0.6038732394366197
svmsm,en,7,0.6253746253746254
svmsm,en,8,0.5862884160756501
svmsm,en,9,0.8226950354609929
svmsm,gb,0,0.7047397047397047
svmsm,gb,1,0.4794520547945206
svmsm,gb,2,0.6253746253746254
svmsm,gb,3,0.6253746253746254
svmsm,gb,4,0.6253746253746254
svmsm,gb,5,0.8226950354609929
svmsm,gb,6,0.5714285714285714
svmsm,gb,7,0.6848739495798319
svmsm,gb,8,0.5714285714285714
svmsm,gb,9,0.6038732394366197
svmsm,logreg,0,0.7361111111111112
svmsm,logreg,1,0.4794520547945206
svmsm,logreg,2,0.6527777777777778
svmsm,logreg,3,0.7752247752247753
svmsm,logreg,4,0.6527777777777778
svmsm,logreg,5,0.9408983451536643
